LOAN_NO,MEMBER_NAME,MOBILE_NUMBER,STATE,DISTRICT,RURAL_URBAN,PRODUCT,DISBURSEMENT_DATE,TENURE,TOTAL_INSTAL,PRINCIPAL_TOTAL,OUTSTANDING_PRINCIPAL,PRIN_COLLECTED,INT_COLLECTED,LAST_EMI,TOTAL_ARREAR,Total_EMI_Paid_Count,LAST_COLL_DATE,LAST_COLL_AMOUNT,OD_DAYS,OD_BUCKET,STATUS,TOTAL_INCOME,TOTAL_EXPENSE,FOIR,AGE,CYCLE,PAID_WITHIN_30D,AMOUNT_PAID_30D
LN1000030,Santosh Kaur,8638288732,Rajasthan,Bikaner,RURAL,Individual Loan,2023-10-01,36,36,100000.00,86111.00,13889.00,2500.00,4778.00,4778.00,5,2024-02-13,4778.00,28,0-30,Active,31224,17714,0.7203,33,4,1,3369.00
LN1000031,Sarita Gupta,8614498873,Odisha,Puri,RURAL,Micro-Enterprise,2023-12-16,12,12,30000.00,25000.00,5000.00,900.00,3100.00,3100.00,2,2024-03-04,3100.00,11,0-30,Active,64853,47127,0.7745,37,2,1,3100.00
LN1000032,Sarita Sharma,9440066674,Bihar,Samastipur,RURAL,Agriculture Allied,2022-10-30,24,24,25000.00,11458.00,13542.00,2438.00,1542.00,6168.00,13,2023-12-05,1542.00,108,91-180,Active,16047,9270,0.6738,22,2,1,1542.00
LN1000033,Sunita Khatun,6212028153,Uttar Pradesh,Prayagraj,URBAN,Agriculture Allied,2023-04-18,36,36,100000.00,77778.00,22222.00,4000.00,4778.00,14334.00,8,2024-01-06,,76,61-90,Active,60405,49494,0.8985,29,1,1,6888.00
LN1000034,Rani Kaur,8814280211,Bihar,Purnia,RURAL,Individual Loan,2023-08-14,18,18,25000.00,25000.00,0.00,0.00,1889.00,22668.00,0,2023-03-29,,359,181-360,NPA,31855,26395,0.8879,57,4,1,1889.00
LN1000035,Kavita Kaur,8640236889,Maharashtra,Aurangabad,RURAL,Agriculture Allied,2023-03-19,24,24,60000.00,40000.00,20000.00,3600.00,3700.00,14800.00,8,2023-12-04,3700.00,111,91-180,NPA,45325,30548,0.7556,42,3,1,3700.00
LN1000036,Urmila Das,8684622098,Maharashtra,Amravati,URBAN,Micro-Enterprise,2022-09-06,36,36,30000.00,16667.00,13333.00,2400.00,1433.00,4299.00,16,2023-12-24,1433.00,73,61-90,Active,61198,49422,0.8310,24,3,0,0.00
LN1000037,Kavita Gupta,7751384339,West Bengal,Malda,RURAL,Agriculture Allied,2023-06-10,24,24,50000.00,33333.00,16667.00,3000.00,3083.00,3083.00,8,2024-03-10,,12,0-30,Active,22771,11745,0.6512,22,4,1,3805.00
LN1000038,Mamta Verma,8370701532,Tamil Nadu,Thanjavur,RURAL,Individual Loan,2023-03-02,18,18,40000.00,40000.00,0.00,0.00,3022.00,42308.00,0,2023-02-10,3022.00,402,360+,Active,47227,35696,0.8198,42,5,0,0.00
LN1000039,Anil Paswan,7869563180,West Bengal,Murshidabad,RURAL,JLG,2023-11-07,12,12,75000.00,56250.00,18750.00,3375.00,7750.00,7750.00,3,2024-02-29,7750.00,6,0-30,Active,57910,44288,0.8986,31,5,1,7750.00
LN1000040,Anita Das,9540416656,West Bengal,Nadia,RURAL,Micro-Enterprise,2022-03-13,36,36,75000.00,31250.00,43750.00,7875.00,3583.00,10749.00,21,2024-01-02,3583.00,76,61-90,Active,19304,15330,0.9797,48,5,1,3583.00
LN1000041,Santosh Yadav,9468616170,West Bengal,Nadia,RURAL,Micro-Enterprise,2022-05-15,36,36,100000.00,44444.00,55556.00,10000.00,4778.00,9556.00,20,2024-02-01,4778.00,36,31-60,Active,64819,45220,0.7713,30,2,1,4778.00
LN1000042,Manoj Khatun,7778496826,Uttar Pradesh,Prayagraj,RURAL,Individual Loan,2023-05-03,18,18,50000.00,25000.00,25000.00,4500.00,3778.00,7556.00,9,2024-01-22,3778.00,50,31-60,Active,21825,11977,0.7219,27,5,1,3778.00
LN1000043,Mukesh Sharma,79957803,Bihar,Purnia,RURAL,JLG,2023-01-03,24,24,50000.00,31250.00,18750.00,3375.00,3083.00,18498.00,9,2023-09-29,3083.00,179,91-180,Active,19042,9949,0.6844,30,5,1,3083.00
LN1000044,Kavita Manjhi,8967682359,Odisha,Puri,URBAN,Individual Loan,2023-06-10,36,36,40000.00,31111.00,8889.00,1600.00,1911.00,1911.00,8,2024-03-05,1911.00,16,0-30,Active,51154,42969,0.8774,30,4,1,1911.00
LN1000045,Aarti Manjhi,9773469617,Tamil Nadu,Thanjavur,URBAN,Agriculture Allied,2023-04-18,24,24,100000.00,66667.00,33333.00,6000.00,6167.00,18501.00,8,2024-01-20,6167.00,62,61-90,Active,48832,24395,0.6259,50,2,1,6167.00
LN1000046,Pooja Pandey,7397205721,Rajasthan,Ajmer,RURAL,Micro-Enterprise,2023-03-10,12,12,60000.00,15000.00,45000.00,8100.00,6200.00,18600.00,9,2023-12-18,6200.00,85,61-90,Active,27991,16385,0.8069,29,5,1,6200.00
LN1000047,Dinesh Verma,9743644347,Uttar Pradesh,Gorakhpur,RURAL,Agriculture Allied,2023-11-30,18,18,75000.00,62500.00,12500.00,2250.00,5667.00,5667.00,3,2024-03-05,5667.00,19,0-30,Active,25010,10864,0.6610,22,1,1,10366.00
LN1000048,Lalita Gupta,8305922763,West Bengal,Hooghly,RURAL,Micro-Enterprise,2023-10-27,36,36,50000.00,50000.00,0.00,0.00,2389.00,23890.00,0,2023-06-26,2389.00,272,181-360,Active,26646,13286,0.5883,39,3,1,2389.00
LN1000049,Mamta Kaur,8219947127,Bihar,Gaya,RURAL,Micro-Enterprise,2022-03-10,36,36,100000.00,36111.00,63889.00,11500.00,4778.00,9556.00,23,2024-01-17,4778.00,50,31-60,Active,56238,35533,0.7168,44,2,1,4778.00
LN1000050,Meena Gupta,7514481908,Uttar Pradesh,Kanpur,RURAL,JLG,2023-08-30,18,18,40000.00,33333.00,6667.00,1200.00,3022.00,12088.00,3,2023-12-06,3022.00,94,91-180,Active,43139,19710,0.5269,28,5,1,3022.00
LN1000051,Urmila Roy,7842170234,Madhya Pradesh,Jabalpur,RURAL,Individual Loan,2021-10-15,36,36,100000.00,33333.00,66667.00,12000.00,4778.00,23890.00,24,2023-10-27,4778.00,148,91-180,Active,39190,25339,0.7685,32,4,0,0.00
LN1000052,Sita Singh,9760292405,Bihar,Darbhanga,URBAN,JLG,2023-08-13,12,12,25000.00,12500.00,12500.00,2250.00,2583.00,2583.00,6,2024-02-17,2583.00,26,0-30,Active,31845,21471,0.7553,33,3,1,4504.00
LN1000053,Sita Bai,7293299906,Tamil Nadu,Salem,RURAL,Agriculture Allied,2023-06-18,24,24,75000.00,50000.00,25000.00,4500.00,4625.00,4625.00,8,2024-03-08,4625.00,2,0-30,Active,,,,23,2,1,4625.00
LN1000054,Rekha Das,7524626254,Odisha,Cuttack,URBAN,Individual Loan,2023-12-06,12,12,30000.00,25000.00,5000.00,900.00,3100.00,3100.00,2,2024-03-05,3100.00,6,0-30,Active,35261,26079,0.8275,25,1,1,3062.00
LN1000055,Rekha Kumari,8999413588,Odisha,Balasore,RURAL,JLG,2023-06-27,36,36,60000.00,60000.00,0.00,0.00,2867.00,34404.00,0,2023-04-03,2867.00,349,181-360,NPA,48190,39378,0.8766,35,5,1,2621.00
LN1000056,Lalita Yadav,8976524357,Tamil Nadu,Salem,RURAL,JLG,2023-07-15,12,12,75000.00,31250.00,43750.00,7875.00,7750.00,7750.00,7,2024-02-17,7750.00,23,0-30,Active,51546,41055,0.9468,27,4,1,7750.00
LN1000057,Vijay Roy,6506034012,Uttar Pradesh,Bareilly,URBAN,Individual Loan,2023-07-03,36,36,30000.00,26667.00,3333.00,600.00,1433.00,7165.00,4,2023-11-03,1433.00,141,91-180,NPA,63110,40403,0.6629,32,3,1,1433.00
LN1000058,Kavita Sharma,9221922091,Odisha,Cuttack,RURAL,Agriculture Allied,2023-01-29,18,18,50000.00,36111.00,13889.00,2500.00,3778.00,34002.00,5,2023-07-05,3778.00,254,181-360,Write-Off,20889,17022,0.9957,50,4,0,0.00
LN1000059,Meena Verma,8266305557,Rajasthan,Udaipur,RURAL,Micro-Enterprise,2023-05-08,36,36,50000.00,37500.00,12500.00,2250.00,2389.00,2389.00,9,2024-02-15,2389.00,25,0-30,Active,31066,15354,0.5711,31,5,1,2389.00
LN1000060,Manju Bai,6970056470,West Bengal,North 24 Parganas,RURAL,JLG,2021-12-30,36,36,50000.00,13889.00,36111.00,6500.00,2389.00,2389.00,26,2024-02-25,2389.00,27,0-30,Active,18710,8202,0.5661,24,5,1,2389.00
LN1000061,Mukesh Bai,6850828561,West Bengal,North 24 Parganas,RURAL,Micro-Enterprise,2023-02-18,18,18,25000.00,11111.00,13889.00,2500.00,1889.00,5667.00,10,2024-01-04,1889.00,82,61-90,Active,49619,21907,0.4796,54,4,1,1889.00
LN1000062,Kiran Pandey,6756909557,Bihar,Samastipur,URBAN,Individual Loan,2023-03-24,12,12,100000.00,8333.00,91667.00,16500.00,10333.00,10333.00,11,2024-03-15,10333.00,3,0-30,Active,34548,19062,0.8508,27,5,1,10333.00
LN1000063,Manoj Verma,9941944688,Madhya Pradesh,Rewa,RURAL,Agriculture Allied,2023-04-29,36,36,75000.00,64583.00,10417.00,1875.00,3583.00,21498.00,5,2023-09-26,3583.00,171,91-180,NPA,63214,26124,0.4699,48,4,1,3583.00
LN1000064,Geeta Mondal,8252789636,Bihar,Patna,RURAL,JLG,2023-11-03,18,18,75000.00,70833.00,4167.00,750.00,5667.00,17001.00,1,2024-01-06,,61,61-90,Active,27010,13852,0.7227,30,3,1,8158.00
LN1000065,Ramesh Yadav,7169119813,Maharashtra,Amravati,RURAL,JLG,2023-05-02,36,36,75000.00,54167.00,20833.00,3750.00,3583.00,3583.00,10,2024-02-28,3583.00,17,0-30,Active,56604,33739,0.6594,26,5,0,0.00
LN1000066,Ramesh Das,7123698043,West Bengal,Hooghly,RURAL,Individual Loan,2023-09-09,24,24,60000.00,60000.00,0.00,0.00,3700.00,37000.00,0,2023-06-14,3700.00,271,181-360,Active,,,,28,4,0,0.00
LN1000067,Kavita Paswan,8162880095,West Bengal,Nadia,RURAL,JLG,2023-11-10,12,12,75000.00,56250.00,18750.00,3375.00,7750.00,7750.00,3,2024-02-26,7750.00,23,0-30,Active,48175,34921,0.8857,26,4,1,7750.00
LN1000068,Rajesh Devi,7640426146,West Bengal,Murshidabad,RURAL,Micro-Enterprise,2022-02-19,24,24,50000.00,6250.00,43750.00,7875.00,3083.00,9249.00,21,2023-12-14,3083.00,84,61-90,Active,59107,47677,0.8588,22,2,0,0.00
LN1000069,Mamta Patel,7560387919,West Bengal,Malda,RURAL,Micro-Enterprise,2023-06-18,36,36,50000.00,41667.00,8333.00,1500.00,2389.00,7167.00,6,2024-01-04,2389.00,70,61-90,Active,25463,14372,0.6582,33,4,1,2389.00
LN1000070,Manoj Sharma,8911388226,Madhya Pradesh,Gwalior,URBAN,Individual Loan,2023-04-08,24,24,50000.00,29167.00,20833.00,3750.00,3083.00,3083.00,10,2024-02-21,3083.00,26,0-30,Active,,,,49,4,1,3083.00
LN1000071,Manju Yadav,9993696106,West Bengal,Hooghly,RURAL,Agriculture Allied,2023-12-20,24,24,60000.00,60000.00,0.00,0.00,3700.00,48100.00,0,2023-03-04,3700.00,385,360+,Active,17407,7089,0.6198,58,4,0,0.00
LN1000072,Sunil Yadav,9703748312,Uttar Pradesh,Azamgarh,RURAL,Individual Loan,2022-12-20,24,24,40000.00,16667.00,23333.00,4200.00,2467.00,2467.00,14,2024-02-27,2467.00,13,0-30,Active,49058,31229,0.6869,44,3,1,2467.00
LN1000073,Shanti Kumari,6310853831,Bihar,Samastipur,RURAL,Individual Loan,2022-05-25,24,24,50000.00,12500.00,37500.00,6750.00,3083.00,12332.00,18,2023-11-27,3083.00,101,91-180,NPA,31636,19650,0.7186,46,3,1,3083.00
LN1000074,Lalita Singh,6272299297,Odisha,Cuttack,URBAN,Micro-Enterprise,2023-12-16,12,12,60000.00,60000.00,0.00,0.00,6200.00,18600.00,0,2024-01-16,6200.00,65,61-90,Active,63833,35765,0.6574,34,3,1,4280.00
LN1000075,Manju Kumari,7610932931,Maharashtra,Nagpur,RURAL,Micro-Enterprise,2023-06-28,18,18,100000.00,55556.00,44444.00,8000.00,7556.00,7556.00,8,2024-03-05,7556.00,6,0-30,Active,23943,14321,0.9137,52,4,1,7556.00
LN1000076,Anil Devi,8721778028,Rajasthan,Udaipur,URBAN,JLG,2023-03-14,36,36,40000.00,27778.00,12222.00,2200.00,1911.00,1911.00,11,2024-03-13,1911.00,3,0-30,Active,37451,18405,0.5425,52,4,1,3427.00
LN1000077,Sangeeta Paswan,6241102957,Odisha,Cuttack,RURAL,Individual Loan,2023-09-19,12,12,60000.00,35000.00,25000.00,4500.00,6200.00,6200.00,5,2024-02-23,6200.00,28,0-30,Active,53698,22182,0.5285,45,5,1,6200.00
LN1000078,Shanti Manjhi,8110990132,Uttar Pradesh,Lucknow,RURAL,Agriculture Allied,2023-11-15,12,12,60000.00,45000.00,15000.00,2700.00,6200.00,6200.00,3,2024-02-24,,20,0-30,Active,38070,23501,0.7802,57,5,1,6200.00
LN1000079,Pooja Tiwari,7713420089,Madhya Pradesh,Indore,RURAL,Micro-Enterprise,2022-08-12,36,36,100000.00,103194.00,47222.00,8500.00,4778.00,9556.00,17,2024-02-03,4778.00,52,31-60,Active,41256,33112,0.9184,35,2,0,0.00
LN1000080,Sunita Singh,9529307486,Bihar,Bhagalpur,RURAL,Micro-Enterprise,2023-07-11,12,12,75000.00,43750.00,31250.00,5625.00,7750.00,23250.00,5,2023-12-10,,90,61-90,Active,18283,14894,1.2000,32,1,0,0.00
LN1000081,Kiran Verma,9635311555,Tamil Nadu,Salem,RURAL,Individual Loan,2023-09-19,12,12,50000.00,29167.00,20833.00,3750.00,5167.00,5167.00,5,2024-03-05,5167.00,21,0-30,Active,21964,17981,1.0539,52,2,1,4862.00
LN1000082,Vijay Devi,6650183892,Bihar,Samastipur,RURAL,Individual Loan,2023-04-01,18,18,60000.00,40000.00,20000.00,3600.00,4533.00,27198.00,6,2023-10-15,4533.00,153,91-180,NPA,50762,32816,0.7358,57,5,1,6970.00
LN1000083,Santosh Kaur,8582748052,Maharashtra,Nashik,URBAN,Micro-Enterprise,2023-10-30,12,12,50000.00,50000.00,0.00,0.00,5167.00,67171.00,0,2023-03-11,5167.00,367,360+,Active,25417,10838,0.6297,41,2,1,6913.00
LN1000084,Lalita Gupta,6668728656,Bihar,Gaya,RURAL,JLG,2023-05-06,12,12,30000.00,5000.00,25000.00,4500.00,3100.00,3100.00,10,2024-02-11,3100.00,26,0-30,Active,,,,42,3,1,3100.00
LN1000085,Manoj Tiwari,6533355559,Uttar Pradesh,Bareilly,RURAL,Micro-Enterprise,2022-06-26,24,24,50000.00,35417.00,14583.00,2625.00,3083.00,43162.00,7,2023-02-15,3083.00,405,360+,Write-Off,54636,36656,0.7273,56,3,0,0.00
LN1000086,Dinesh Paswan,6423346775,Uttar Pradesh,Lucknow,RURAL,Individual Loan,2023-11-13,12,12,40000.00,30000.00,10000.00,1800.00,4133.00,4133.00,3,2024-02-14,4133.00,26,0-30,Active,38384,26240,0.7913,28,3,1,4133.00
LN1000087,Dinesh Yadav,8970515435,Maharashtra,Pune,URBAN,Agriculture Allied,2023-02-28,24,24,75000.00,43750.00,31250.00,5625.00,4625.00,13875.00,10,2023-12-21,4625.00,77,61-90,Active,59521,44986,0.8335,57,1,1,4625.00
LN1000088,Dinesh Roy,9367855587,Madhya Pradesh,Jabalpur,RURAL,Agriculture Allied,2022-01-04,36,36,60000.00,20000.00,40000.00,7200.00,2867.00,8601.00,24,2024-01-05,2867.00,67,61-90,Active,30187,21497,0.8071,45,2,1,1170.00
LN1000089,Radha Khatun,6191221218,Maharashtra,Amravati,RURAL,Micro-Enterprise,2022-09-22,24,24,25000.00,9375.00,15625.00,2813.00,1542.00,4626.00,15,2023-12-13,1542.00,86,61-90,Active,42935,32764,0.7990,36,1,0,0.00
LN1000090,Lalita Gupta,8177541634,Bihar,Bhagalpur,RURAL,Micro-Enterprise,2023-05-05,12,12,75000.00,25000.00,50000.00,9000.00,7750.00,23250.00,8,2023-12-31,7750.00,81,61-90,Active,56791,35768,0.7663,25,5,1,7750.00
LN1000091,Radha Kaur,6156410999,Odisha,Mayurbhanj,RURAL,Agriculture Allied,2023-10-06,36,36,50000.00,44444.00,5556.00,1000.00,2389.00,2389.00,4,2024-03-02,2389.00,9,0-30,Active,44817,32362,0.7754,42,5,1,2389.00
LN1000092,Sita Khatun,9657583818,Rajasthan,Jaipur,RURAL,Individual Loan,2022-04-07,36,36,25000.00,9028.00,15972.00,2875.00,1194.00,1194.00,23,2024-02-18,1194.00,29,0-30,Active,58258,35983,0.6381,56,1,1,1194.00
LN1000093,Rajesh Patel,8190072082,Tamil Nadu,Thanjavur,RURAL,Agriculture Allied,2023-09-13,12,12,30000.00,22500.00,7500.00,1350.00,3100.00,9300.00,3,2024-01-19,3100.00,66,61-90,Active,50864,26813,0.5881,21,5,1,3100.00
LN1000094,Anita Kaur,8481101458,Odisha,Ganjam,RURAL,Individual Loan,2023-11-17,12,12,50000.00,37500.00,12500.00,2250.00,5167.00,5167.00,3,2024-03-15,5167.00,8,0-30,Active,23735,13532,0.7878,31,2,0,0.00
LN1000095,Rekha Mahto,7327104286,West Bengal,Nadia,RURAL,Agriculture Allied,2023-11-20,24,24,100000.00,87500.00,12500.00,2250.00,6167.00,6167.00,3,2024-02-15,6167.00,25,0-30,Active,59560,34680,0.6858,53,2,1,7363.00
LN1000096,Anita Verma,9295636840,Madhya Pradesh,Rewa,RURAL,Micro-Enterprise,2022-06-01,24,24,50000.00,16667.00,33333.00,6000.00,3083.00,18498.00,16,2023-10-14,3083.00,163,91-180,Active,45102,21314,0.5409,29,5,1,1510.00
LN1000097,Lalita Gupta,6746098434,Odisha,Khordha,RURAL,Individual Loan,2023-11-17,18,18,50000.00,44444.00,5556.00,1000.00,3778.00,7556.00,2,2024-02-06,3778.00,38,31-60,Active,30983,18464,0.7179,52,1,1,3778.00
LN1000098,Anita Pandey,7305876741,Rajasthan,Jaipur,RURAL,Micro-Enterprise,2023-10-12,12,12,60000.00,50000.00,10000.00,1800.00,6200.00,18600.00,2,2024-01-09,6200.00,74,61-90,Active,58057,49271,0.9555,54,1,1,6200.00
LN1000099,Aarti Bai,7849114858,Madhya Pradesh,Rewa,RURAL,Agriculture Allied,2023-04-11,24,24,30000.00,17500.00,12500.00,2250.00,1850.00,1850.00,10,2024-03-04,1850.00,9,0-30,Active,32091,17157,0.5923,21,4,1,1850.00
LN1000100,Lalita Das,9349215432,Odisha,Cuttack,RURAL,Agriculture Allied,2023-08-02,18,18,100000.00,72222.00,27778.00,5000.00,7556.00,22668.00,5,2023-12-24,7556.00,87,61-90,Active,60375,48512,0.9287,50,2,1,6829.00
LN1000101,Radha Kaur,7465269448,Uttar Pradesh,Lucknow,RURAL,Individual Loan,2022-10-20,24,24,40000.00,16667.00,23333.00,4200.00,2467.00,7401.00,14,2023-12-16,,86,61-90,Active,40498,20922,0.5775,52,4,1,2467.00
LN1000102,Meena Mondal,8952485453,Odisha,Balasore,URBAN,Micro-Enterprise,2023-08-10,18,18,50000.00,41667.00,8333.00,1500.00,3778.00,15112.00,3,2023-12-08,3778.00,98,91-180,NPA,55173,24166,0.5065,39,5,1,3778.00
LN1000103,Pooja Begum,9854428805,Madhya Pradesh,Ujjain,RURAL,JLG,2022-10-11,18,18,30000.00,6667.00,23333.00,4200.00,2267.00,6801.00,14,2024-01-14,2267.00,61,61-90,Active,24714,18427,0.8373,36,2,0,0.00
